Frequency_Hz,Zre_data_Ohm,Zim_data_Ohm,Zre_fit_Ohm,Zim_fit_Ohm,Re_residual_Ohm,Im_residual_Ohm
177827.84375,0.72812077498124,0.199154182638709,0.8744342607173516,0.20322920622730814,0.1463134857361117,0.004075023588599153
158489.21875,0.726725323917691,0.175202442231789,0.8746236732402544,0.17970632447499976,0.1478983493225634,0.004503882243210772
141253.6875,0.727733660480352,0.152724414426153,0.8748317962550042,0.1585995609820047,0.14709813577465214,0.005875146555851696
125892.4609375,0.72911381695082,0.132384909990276,0.8750604864483611,0.13963184410430046,0.1459466694975411,0.007246934114024467
112201.7421875,0.728364051738165,0.114333983348066,0.8753117843149945,0.122554941414049,0.14694773257682947,0.008220958065982997
99999.921875,0.730773078099326,0.0993723438239767,0.8755879331472697,0.10714607652254853,0.14481485504794367,0.007773732698571831
89125.0546875,0.731059693512401,0.0832397788109911,0.8758914021724884,0.09320486306119595,0.14483170866008743,0.009965084250204856
79432.78125,0.731206643181786,0.0709055869637526,0.8762249091104377,0.08055076667821398,0.14501826592865175,0.009645179714461383
70794.484375,0.733426836765107,0.0584977124912078,0.8765914432439335,0.06902084205316009,0.14316460647882645,0.01052312956195229
63095.70703125,0.733451590015439,0.0470727832791999,0.8769942841793094,0.058467794812163174,0.14354269416387033,0.011395011532963274
56234.09375,0.735303261832273,0.0360231598179859,0.8774370594255125,0.04875734007058102,0.14213379759323952,0.012734180252595123
50118.66015625,0.736611001938371,0.0269513358644231,0.8779237481977561,0.0397673247390127,0.14131274625938506,0.012815988874589599
44668.28125,0.737286602844144,0.0166041889302682,0.8784587315575142,0.03138575966258851,0.14117212871337015,0.01478157073232031
39810.6875,0.739808315232411,0.0095587681834723,0.879046826582601,0.02350951001917319,0.13923851135019005,0.013950741835700891
35481.33984375,0.74213259804557,0.001557380489692,0.8796933531882456,0.01604272476166834,0.13756075514267563,0.014485344271976341
31622.779296875,0.742196994411978,-0.0071630600846901,0.8804041644737352,0.008895960294730365,0.1382071700617572,0.016059020379420464
28183.77734375,0.745855909470983,-0.0151656398637619,0.8811857138360064,0.0019849365823882414,0.1353298043650234,0.017150576446150142
25118.794921875,0.748335742272547,-0.0217761021994498,0.8820450799257918,-0.004770186702045905,0.1337093376532449,0.017005915497403892
22387.177734375,0.749824051554683,-0.0292448603577349,0.8829900716904685,-0.011446134954670416,0.1331660201357855,0.017798725403064486
19952.607421875,0.752905798146141,-0.0364445431211315,0.8840293291237515,-0.018117523003493903,0.13112353097761054,0.018327020117637594
17782.765625,0.754427123048637,-0.0434740142596649,0.8851723658579029,-0.024857391816650774,0.13074524280926592,0.018616622443014125
15848.921875,0.75769700512575,-0.0512313548881713,0.886429626430873,-0.031737883504051226,0.12873262130512297,0.019493471384120074
14125.369140625,0.759304608397879,-0.0598153266528778,0.8878126942077829,-0.03883164105053724,0.1285080858099038,0.02098368560234056
12589.24609375,0.763155526208969,-0.0679042053612069,0.8893343174435896,-0.04621207917229444,0.1261787912346206,0.021692126188912468
11220.1787109375,0.766434792301977,-0.0776976290278171,0.8910085605868815,-0.05395431700099731,0.12457376828490452,0.023743312026819792
9999.9833984375,0.768587103811807,-0.0836625290663771,0.8928509868657094,-0.06213614127806719,0.12426388305390246,0.021526387788309904
8912.5009765625,0.771792539844443,-0.092971091588093,0.8948787072089665,-0.07083831193230022,0.12308616736452349,0.022132779655792773
7943.2734375,0.775478948469734,-0.102226042558833,0.8971107313191965,-0.08014614154098858,0.12163178284946252,0.02207990101784442
7079.44873046875,0.779154797541368,-0.113331144915792,0.8995680071236443,-0.09014964433220447,0.1204132095822763,0.023181500583587533
6309.57080078125,0.782384322370536,-0.125418029793052,0.9022736940506125,-0.10094465055352787,0.11988937168007652,0.024473379239524126
5623.4072265625,0.78875486442982,-0.137884535670744,0.9052535081580625,-0.1126341071175333,0.11649864372824248,0.02525042855321069
5011.86572265625,0.79381230326421,-0.152385860697195,0.908535806280791,-0.12532828194003146,0.11472350301658096,0.027057578757163553
4466.83251953125,0.799506764262373,-0.166690867291207,0.9121520351861664,-0.13914634803617082,0.1126452709237934,0.027544519255036176
3981.06640625,0.804806505640015,-0.182090230529627,0.9161371322351212,-0.15421766688039548,0.11133062659510617,0.02787256364923152
3548.12939453125,0.811272295853959,-0.197841766662677,0.9205297210180533,-0.17068221526722133,0.10925742516409431,0.027159551395455672
3162.27099609375,0.818780150123818,-0.217822181261209,0.9253727966554988,-0.18869276714606517,0.10659264653168077,0.02912941411514383
2818.38012695313,0.82535867577705,-0.238090179709816,0.9307139214931287,-0.20841511919580505,0.10535524571607868,0.029675060514010948
2511.8818359375,0.833113105586019,-0.260693324186227,0.9366062882018064,-0.230031405570995,0.10349318261578733,0.030661918615231987
2238.71899414063,0.841730243353618,-0.285473213586842,0.9431086864600592,-0.2537392051943497,0.10137844310644117,0.0317340083924923
1995.25964355469,0.851515464688302,-0.312392321597116,0.950286946632982,-0.2797558991672618,0.09877148194468,0.032636422429854206
1778.27893066406,0.861609351737832,-0.341868934207514,0.9582140794453493,-0.3083180392588625,0.09660472770751727,0.033550894948651544
1584.88989257813,0.872656936082671,-0.373679792130952,0.9669720325565072,-0.33968633131754017,0.09431509647383618,0.03399346081341181
1412.53405761719,0.885355966004798,-0.409686529363232,0.9766516440267901,-0.3741438199674899,0.09129567802199201,0.03554270939574211
1258.92407226563,0.898333191939713,-0.449074914414079,0.987354716337822,-0.41200135314259567,0.08902152439810906,0.03707356127148331
1122.01672363281,0.9131266930003,-0.491772920556982,0.999195567663097,-0.4536006926847693,0.086068874662797,0.038172227872212694
999.998901367188,0.929469415985691,-0.538550441840746,1.012301569912497,-0.49931359407490966,0.0828321539268061,0.0392368477658363
891.24951171875,0.947929244783955,-0.590178382954644,1.0268160448696677,-0.5495486135383798,0.0788868000857127,0.04062976941626417
794.327941894531,0.9677893301113,-0.646562073046491,1.0428992462273003,-0.6047505329444794,0.07510991611600037,0.0418115401020116
707.944885253906,0.989556886334331,-0.708519448335905,1.060732159710318,-0.6654087419062471,0.07117527337598706,0.043110706429657863
630.956481933594,1.01452723693853,-0.776243373507072,1.0805172776837306,-0.7320542979220688,0.06599004074520054,0.04418907558500318
562.33984375,1.04145413221835,-0.850204423532591,1.1024833731823398,-0.8052695812677437,0.06102924096398987,0.04493484226484723
501.185424804688,1.07169250575452,-0.931523263007476,1.1268875613998615,-0.8856874837398739,0.05519505564534155,0.04583577926760207
446.682678222656,1.10557806481266,-1.02008618773371,1.154019490894971,-0.9739964159041303,0.048441426082310945,0.04608977182957963
398.10693359375,1.14312019530167,-1.11727054617747,1.1842072011054008,-1.0709489970347752,0.0410870058037307,0.04632154914269471
354.812805175781,1.18664635672659,-1.22180114057117,1.217821248866616,-1.1773631238142288,0.03117489214002611,0.044438016756941146
316.226928710938,1.23252677517595,-1.33922415892438,1.2552788081372546,-1.2941211634440553,0.022752032961304458,0.045102995480324815
281.837860107422,1.2827539900599,-1.46385471656678,1.297051227788672,-1.4221779012512326,0.014297237728772005,0.041676815315547344
251.187881469727,1.34075069159835,-1.60089038165785,1.3436738159469876,-1.5625723231355724,0.002923124348637618,0.03831805852227754
